name,genre,year_of_release,publisher,sales,critic_score,user_score,critic_user_diff,developer,rating,platform,year_choices,stat_diff
The Sims 4,Simulation,2014,Electronic Arts,3.05,70,39,31,Maxis,T,PC,2014,Yes
Tom Clancy's Splinter Cell,Action,2002,Ubisoft,3.02,93,85,8,Ubisoft,T,XB,2002,No
FIFA 14,Sports,2013,Electronic Arts,3.01,87,63,24,EA,E,PS4,2013,No
Far Cry 3,Shooter,2012,Ubisoft,3,91,86,5,Ubisoft,M,X360,2012,No
NBA 2K13,Sports,2012,Take-Two Interactive,3,88,72,16,Visual Concepts,E,X360,2012,No
The Sims: Livin Large,Misc,2000,Electronic Arts,2.99,82,66,16,Maxis,T,PC,2000,No
Devil May Cry,Action,2001,Capcom,2.99,94,85,9,Capcom,M,PS2,2001,No
Battlefield: Bad Company 2,Shooter,2010,Electronic Arts,2.95,88,85,3,EA,M,PS3,2010,No
Street Fighter IV,Fighting,2009,Capcom,2.94,93,73,20,Capcom,T,X360,2009,No
Madden NFL 13,Sports,2012,Electronic Arts,2.86,81,58,23,EA,E,X360,2012,No
Assassin's Creed IV: Black Flag,Action,2013,Ubisoft,2.85,83,78,5,Ubisoft,M,PS4,2013,No
Madden NFL 10,Sports,2009,Electronic Arts,2.83,85,61,24,EA,E,X360,2009,No
Assassin's Creed: Brotherhood,Action,2010,Ubisoft,2.82,90,82,8,Ubisoft,M,PS3,2010,No
Medal of Honor,Shooter,2010,Electronic Arts,2.81,75,75,0,EA,M,PS3,2010,No
Battlefield 3,Shooter,2011,Electronic Arts,2.78,89,75,14,EA,M,PC,2011,No
The Legend of Zelda: A Link to the Past,Action,2002,Nintendo,2.7,95,91,4,Capcom,E,GBA,2002,No
Onimusha: Warlords,Action,2001,Other,2.7,86,82,4,Capcom,M,PS2,2001,No
Madden NFL 12,Sports,2011,Electronic Arts,2.69,78,59,19,EA,E,X360,2011,No
LEGO Star Wars II: The Original Trilogy,Action,2006,Other,2.69,84,90,-6,Traveller's Tales,E10+,PS2,2006,No
Madden NFL 11,Sports,2010,Electronic Arts,2.69,84,57,27,EA,E,X360,2010,Yes
Mario vs. Donkey Kong: Mini-Land Mayhem!,Puzzle,2010,Nintendo,2.67,79,77,2,Nintendo,E,DS,2010,No
Guitar Hero: World Tour,Misc,2008,Activision,2.66,85,63,22,Neversoft Entertainment,T,X360,2008,No
FIFA 17,Sports,2016,Electronic Arts,2.65,84,55,29,EA,E,XOne,2016,Yes
Tom Clancy's Splinter Cell,Action,2003,Ubisoft,2.65,89,77,12,Ubisoft,T,PS2,2003,No
Skate 3,Sports,2010,Electronic Arts,2.63,80,80,0,EA,T,X360,2010,No
ESPN NFL 2K5,Sports,2004,Other,2.62,90,82,8,Visual Concepts,E,PS2,2004,No
NBA 2K12,Sports,2011,Take-Two Interactive,2.62,90,77,13,Visual Concepts,E,X360,2011,No
FIFA Soccer 10,Sports,2009,Electronic Arts,2.62,90,75,15,EA,E,X360,2009,No
Harry Potter and the Chamber of Secrets,Action,2002,Electronic Arts,2.61,71,76,-5,EA,E,PS2,2002,No
NBA Live 2005,Sports,2004,Electronic Arts,2.59,84,81,3,EA,E,PS2,2004,No
FIFA Soccer 09,Sports,2008,Electronic Arts,2.58,87,75,12,EA,E,PS3,2008,No
WWE SmackDown vs. RAW 2007,Fighting,2006,Other,2.58,80,86,-6,Yuke's,T,PS2,2006,No
LEGO Star Wars: The Complete Saga,Action,2007,Other,2.57,80,74,6,Traveller's Tales,E10+,X360,2007,No
Madden NFL 08,Sports,2007,Electronic Arts,2.57,78,78,0,EA,E,PS2,2007,No
